timestamp,model,fed_method,framework,fed_enabled,pl_size,pl_leader_reset_a,reset_max_u,pl_leader_tau,method,timegap,dyn_coeff,reward_ev_coeff,reward_u_coeff,max_ep,max_ev,reset_ep_max,reset_max_ev,reset_max_a,action_high,action_low,re_scalar,terminal_reward,can_terminate,random_seed,rand_gen,total_time_steps,sample_rate,episode_sim_time,steps_per_episode,number_of_episodes,gamma,centrl_hidd_mult,critic_lr,actor_lr,std_dev,theta,ou_dt,tau,batch_size,buffer_size,pl_rew_for_simulation,actor_layer1_size,actor_layer2_size,critic_layer1_size,critic_layer2_size
20210305180834,ModelB,normal,decentralized,False,2,0,0.1,0.5,exact,1.25,0.5,1,0.1,10,10,1.5,1.5,0.05,4.5,-4.5,0.1,1000,True,2,normal,750000,0.1,60,600,1250,0.99,1.2,0.001,0.0001,0.2,0.15,0.1,0.001,64,1000000,-287753.3,,,,
20210306122533,ModelB,normal,decentralized,False,2,0,0.1,0.5,exact,1.25,0.5,1,0.1,10,10,1.5,1.5,0.05,4.5,-4.5,0.1,1000,True,2,normal,750000,0.1,60,600,1250,0.99,1.2,0.001,0.0001,0.2,0.15,0.01,0.001,64,1000000,-282003.09,,,,
20210306225109,ModelB,normal,decentralized,False,2,0,0.1,0.5,exact,1.25,0.5,1,0.1,10,10,1.5,1.5,0.05,4.5,-4.5,0.1,1000,True,2,normal,750000,0.1,60,600,1250,0.99,1.2,0.001,0.0001,0.2,0.15,0.01,0.001,64,1000000,-426559.84,,,,
20210307122904,ModelB,normal,decentralized,False,2,0,0.1,0.5,exact,1.25,0.5,1,0.1,10,10,1.5,1.5,0.05,2.5,-2.5,0.01,1000,True,2,normal,750000,0.1,60,600,1250,0.99,1.2,0.001,0.0001,0.2,0.15,0.01,0.001,64,500000,-291787.6,400.0,300.0,400.0,300.0
20210307193727,ModelB,normal,decentralized,False,2,0,0.1,0.5,exact,1.25,0.5,1,0.1,10,10,1.5,1.5,0.05,2.5,-2.5,0.001,1000,True,2,normal,750000,0.1,60,600,1250,0.99,1.2,0.001,0.0001,0.2,0.15,0.01,0.001,64,100000,-295463.0,400.0,300.0,400.0,300.0
20210308083339,ModelB,normal,decentralized,False,2,0,0.1,0.5,exact,1.25,0.5,1,0.1,10,10,1.5,1.5,0.05,2.5,-2.5,0.001,1000,True,2,normal,1000000,0.1,60,600,1666,0.99,1.2,0.001,0.0001,0.2,0.15,0.01,0.001,64,100000,-313714.0,400.0,300.0,400.0,300.0
20210308133912,ModelB,normal,decentralized,False,2,0,0.1,0.5,exact,1.25,0.5,1,0.1,10,10,1.5,1.5,0.05,2.5,-2.5,0.01,1000,True,2,normal,750000,0.1,60,600,1250,0.99,1.2,0.001,0.0001,0.02,0.15,0.01,0.001,64,100000,-89.5,400.0,300.0,400.0,300.0
20210309000730,ModelB,normal,decentralized,False,2,0,0.1,0.5,exact,1.25,0.5,1,0.1,10,10,1.5,1.5,0.05,2.5,-2.5,0.001,1000,True,2,normal,750000,0.1,60,600,1250,0.99,1.2,0.001,0.0001,0.02,0.15,0.01,0.001,64,100000,-179.0,400.0,300.0,400.0,300.0
20210309103705,ModelB,normal,decentralized,False,2,0,0.1,0.5,exact,1.25,0.5,1,0.1,10,10,1.5,1.5,0.05,2.5,-2.5,0.1,1000,True,2,normal,750000,0.1,60,600,1250,0.99,1.2,0.001,0.0001,0.02,0.15,0.01,0.001,64,100000,-131.14,400.0,300.0,400.0,300.0
20210310004714,ModelB,normal,decentralized,False,2,0,0.1,0.5,exact,1.25,0.5,1,0.1,10,10,1.5,1.5,0.05,2.5,-2.5,0.01,1000,True,1,normal,750000,0.1,60,600,1250,0.99,1.2,0.001,0.0001,0.02,0.15,0.01,0.001,64,100000,-7056.600189208984,400.0,300.0,400.0,300.0
20210310082134,ModelB,normal,decentralized,False,2,0,0.1,0.5,exact,1.25,0.5,1,0.1,10,10,1.5,1.5,0.05,2.5,-2.5,0.1,1000,True,1,normal,750000,0.1,60,600,1250,0.99,1.2,0.001,0.0001,0.02,0.15,0.01,0.001,64,100000,-302061.11328125,400.0,300.0,400.0,300.0
20210311095442,ModelB,normal,decentralized,False,2,0,0.1,0.5,exact,1.25,0.5,1,0.1,10,10,1.5,1.5,0.05,2.5,-2.5,0.05,1000,True,1,normal,750000,0.1,60,600,1250,0.99,1.2,0.001,0.0001,0.02,0.15,0.01,0.001,64,100000,-209.55999374389648,400.0,300.0,400.0,300.0
